scenario_1,scenario_2,scenario_3,probability
109.96730891691786,41.65544986402932,15.828818866551993,0.003
92.28228330138906,40.06989615013568,18.75368922256334,0.003
75.3295475460901,38.516988448113196,12.425154837451938,0.002
79.0321442154536,37.34765411328526,20.810134338480815,0.004
70.06939628945844,24.814110687700957,12.035629205114358,0.002
74.1043250669103,21.708066256034833,12.765231774020783,0.005
110.48755650863286,37.14067360828852,17.272097367110856,0.005
121.78853679367535,33.40514229937916,13.585470940097073,0.001
93.82885736385049,15.406348699140866,11.553073185189163,0.002
107.1879500304986,20.721557092995127,10.996908511122642,0.001
68.29384590204589,21.94358962053884,16.591677310439547,0.001
60.4438117565493,25.010730121223325,17.241681302806334,0.002
62.50323980369424,29.063497850868348,14.623231745471234,0.003
65.63624336752677,26.06633608536388,16.375522263199745,0.007
101.90305703510117,17.809469738588984,13.767901948887749,0.003
118.12649248238723,23.16309558435938,13.523246838245784,0.001
99.27742399551205,40.29006974787892,13.499996527502978,0.004
97.05969746698815,23.36044847432125,15.61759855369633,0.028000000000000018
92.90733177866822,28.581649810994566,10.255608943872971,0.017000000000000008
72.9722138810669,24.234596801063784,17.2199392862114,0.008
96.16235396553313,20.69160081221876,11.277612630988887,0.006
110.20639698775832,23.060095671818267,15.999576208591598,0.006
69.14971703320123,31.556150361735053,14.239923875615608,0.01800000000000001
103.28156620895797,36.72953434136039,17.26713740575125,0.013000000000000005
113.9267672301824,25.77045302134688,11.204371000200446,0.005
105.65779531203255,32.0346381720724,11.45317092238064,0.023000000000000013
102.86842262645503,22.36094837701488,12.441006408172203,0.011000000000000003
94.00309908309673,18.553926519597308,15.604516436970922,0.003
80.55577121596909,29.059397413542257,19.916487211473118,0.03000000000000002
71.78649658075362,37.01059021820376,16.65142728285062,0.004
81.10209673702802,24.12544227873883,16.265736647114576,0.026000000000000016
82.1659894610338,42.23812491598729,12.827852834775042,0.001
95.1151370191919,30.566626789564104,14.205611380165852,0.11000000000000008
75.93499372987768,34.08488915687653,13.925806020867775,0.037000000000000026
67.64964502101334,31.429459888622695,18.889195584520458,0.007
76.49578581944614,28.75344226420112,13.507767034114547,0.05600000000000004
98.69675756694491,34.712739411268736,17.112771172061766,0.03200000000000002
82.4478058058298,19.04186751084208,11.466076203739892,0.003
101.69270109070172,25.321295995902325,16.509723784948086,0.027000000000000017
87.05431245338389,19.935619216908936,10.743660916028375,0.011000000000000003
90.28326745082941,23.60020266366262,17.819812434550055,0.04000000000000003
83.18385447469566,38.12560065911401,14.93505135216509,0.03300000000000002
100.28053565399183,29.786788524035384,14.93851233547894,0.06100000000000005
112.99664069614839,29.641076920353527,18.09046430339312,0.006
88.04377669192311,31.037150566139633,12.357271856709461,0.09800000000000007
85.52927408132135,30.842138683156985,18.172007661919732,0.07700000000000005
92.21982777676271,35.534881444772,16.281458220405842,0.06900000000000005
106.27401339464686,29.763831130779778,19.780445421303607,0.01800000000000001
85.14603797085877,26.934152663209325,12.579894300621932,0.060000000000000046
113.3102467155807,33.27779029047159,14.331758533239384,0.007
